trip_id,stop_id,trip_date,arrival_delay,route_id,sch_arrival_time,sch_departure_time,stop_sequence,stop_name,stop_lat,stop_lon,arrival_time,departure_delay,departure_time
13276165,299,11-30-2022,-162,6612,1669864500,1669864500,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669864338,-162,1669864338
13276176,299,11-23-2022,-145,6612,1669248414,1669248414,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669248269,-145,1669248269
13276148,109,11-25-2022,-121,6612,1669422946,1669422946,15,Southbound Macdonald St @ W 6th Ave,49.266274,-123.168483,1669422825,-121,1669422825
13339274,299,12-03-2022,-131,6612,1670127413,1670127413,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670127282,-131,1670127282
13276657,296,12-05-2022,-133,6612,1670227500,1670227500,27,Westbound W 41 Ave @ Mackenzie St,49.234819,-123.170795,1670227367,-133,1670227367
13276125,300,12-07-2022,-117,6612,1670427231,1670427231,30,Westbound W 41 Ave @ Collingwood St,49.234836,-123.182546,1670427114,-117,1670427114
13276125,300,11-23-2022,-130,6612,1669217632,1669217632,30,Westbound W 41 Ave @ Collingwood St,49.234836,-123.182546,1669217502,-130,1669217502
13276125,300,11-24-2022,-118,6612,1669304032,1669304032,30,Westbound W 41 Ave @ Collingwood St,49.234836,-123.182546,1669303914,-118,1669303914
13276205,299,11-23-2022,-119,6612,1669235634,1669235634,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669235515,-119,1669235515
13276176,299,11-30-2022,-140,6612,1669853213,1669853213,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669853073,-140,1669853073
13276176,299,12-07-2022,-146,6612,1670458013,1670458013,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1670457867,-146,1670457867
13276382,124,12-04-2022,-135,6612,1670147105,1670147105,23,Southbound Quesnel Dr @ W King Edward Ave,49.249603,-123.171914,1670146970,-135,1670146970
13276373,646,12-03-2022,-113,6612,1670138580,1670138580,31,Dunbar Loop @ Bay 2,49.234593,-123.18575,1670138467,-113,1670138467
13276205,299,11-30-2022,-170,6612,1669840433,1669840433,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669840263,-170,1669840263
13276148,109,11-30-2022,-420,6612,1669854946,1669854946,15,Southbound Macdonald St @ W 6th Ave,49.266274,-123.168483,1669854526,-420,1669854526
13276229,111,11-30-2022,-125,6612,1669862666,1669862666,17,Southbound Macdonald St @ W 11 Ave,49.261885,-123.16835,1669862541,-125,1669862541
13276176,299,11-25-2022,-143,6612,1669421213,1669421213,29,Westbound W 41 Ave @ Blenheim St,49.234831,-123.179103,1669421070,-143,1669421070
